Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite login,Chrome 69.0.3497.100,,2018-10-16 09:13:01,2018-10-16 09:13:25,23.340s,FAILED
,,,,,,
Test Cases/SmokeTest/Arcania_Login,Chrome 69.0.3497.100,,2018-10-16 09:13:02,2018-10-16 09:13:09,7.147s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-16 09:13:02,2018-10-16 09:13:05,3.190s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-16 09:13:05,2018-10-16 09:13:05,0.110s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 09:13:05,2018-10-16 09:13:06,0.182s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-16 09:13:06,2018-10-16 09:13:06,0.119s,PASSED
click,Chrome 69.0.3497.100,,2018-10-16 09:13:06,2018-10-16 09:13:06,0.173s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-16 09:13:06,2018-10-16 09:13:07,0.806s,PASSED
,,,,,,
Test Cases/SmokeTest/Arcania_Login,Chrome 69.0.3497.100,,2018-10-16 09:13:09,2018-10-16 09:13:14,5.441s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-16 09:13:09,2018-10-16 09:13:11,2.212s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-16 09:13:11,2018-10-16 09:13:11,0.083s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 09:13:11,2018-10-16 09:13:11,0.117s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-16 09:13:11,2018-10-16 09:13:11,0.065s,PASSED
click,Chrome 69.0.3497.100,,2018-10-16 09:13:11,2018-10-16 09:13:11,0.142s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-16 09:13:11,2018-10-16 09:13:12,0.789s,PASSED
,,,,,,
Test Cases/SmokeTest/Arcania_Login,Chrome 69.0.3497.100,,2018-10-16 09:13:14,2018-10-16 09:13:19,4.826s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-16 09:13:14,2018-10-16 09:13:16,2.217s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-16 09:13:16,2018-10-16 09:13:16,0.084s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 09:13:16,2018-10-16 09:13:17,0.096s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-16 09:13:17,2018-10-16 09:13:17,0.393s,FAILED
,,,,,,
Test Cases/SmokeTest/Arcania_Login,Chrome 69.0.3497.100,,2018-10-16 09:13:19,2018-10-16 09:13:25,5.565s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-16 09:13:19,2018-10-16 09:13:22,2.969s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-16 09:13:22,2018-10-16 09:13:22,0.077s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 09:13:22,2018-10-16 09:13:22,0.103s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-16 09:13:22,2018-10-16 09:13:23,0.383s,FAILED
